SA2 code,Name
312011339,Clermont
315011395,Aurukun
315011396,Cape York
315011397,Croydon - Etheridge
315011398,Kowanyama - Pormpuraaw
315011399,Northern Peninsula
315011401,Torres
315011402,Torres Strait Islands
315021404,Carpentaria
315021406,Mount Isa Region
315021407,Northern Highlands
315031408,Barcaldine - Blackall
315031409,Charleville
315031410,Far Central West
315031412,Longreach
318011463,Dalrymple
510011263,Derby - West Kimberley
510011264,Halls Creek
510011265,Kununurra
510011266,Roebuck
510021267,East Pilbara
510031271,Ashburton (WA)
510031273,Roebourne
511021277,Exmouth
702011052,Sandover - Plenty
702011053,Tanami
702011054,Yuendumu - Anmatjere
702021055,Barkly
702031058,Daly
702031059,Thamarrurr
702031060,Tiwi Islands
702031061,West Arnhem
702041062,Anindilyakwa
702041063,East Arnhem
702051065,Elsey
702051066,Gulf
702051068,Victoria River
702031057,Alligator
