SA2 code,5 year growth rate
102011028,0.81
102011029,0.55
102011030,1.03
102011031,0.28
102011032,0.68
102011033,-0.18
102011034,0.35
102011035,0.37
102011036,-0.27
102011037,-0.49
102011038,0.93
102011039,1.21
102011040,0.95
102011041,1.23
102011042,0.89
102011043,0.34
102021044,0.40
102021045,0.46
102021046,0.82
102021047,0.01
102021048,0.82
102021049,1.55
102021050,1.04
102021051,0.15
102021052,1.38
102021053,1.30
102021054,1.50
102021055,0.39
102021056,4.37
102021057,1.30
115011290,1.72
115011291,1.71
115011294,0.91
115011296,0.10
115011553,0.74
115011554,-0.75
115011555,0.65
115011556,1.30
115011557,0.53
115011558,-0.17
115011559,4.97
115021297,0.89
115021298,0.16
115031299,0.32
115031300,0.42
115041301,2.67
115041302,6.81
116011303,1.36
116011304,1.67
116011306,3.28
116011307,0.65
116011308,1.49
116011560,1.19
116011561,1.04
116021309,0.82
116021310,4.26
116021312,16.55
116021562,0.48
116021563,0.95
116031313,-0.16
116031314,0.55
116031315,1.23
116031316,4.66
116031317,0.85
116031318,7.96
116031319,1.36
117011320,4.32
117011321,4.94
117011322,5.06
117011323,1.25
117011324,18.47
117011325,13.23
117021326,1.35
117021327,1.57
117021328,1.60
117031329,1.80
117031330,3.29
117031331,3.90
117031332,3.37
117031333,3.14
117031334,2.85
117031335,5.65
117031336,1.35
117031337,3.47
117031338,9.21
118011339,0.57
118011340,1.72
118011341,1.27
118011342,0.00
118011343,0.57
118011344,0.75
118011345,1.09
118011346,0.16
118011347,1.25
118021348,1.40
118021350,2.51
118021564,3.03
118021565,1.84
118021566,0.87
118021567,-0.09
118021568,1.28
118021569,0.58
118021570,2.05
119011354,1.62
119011355,210.97
119011356,2.54
119011357,1.28
119011358,1.11
119011359,1.39
119011360,1.53
119011361,1.83
119011571,1.19
119011572,0.63
119021362,0.50
119021363,2.56
119021364,0.83
119021366,1.35
119021367,0.97
119021573,1.17
119021574,1.03
119031368,3.07
119031369,1.19
119031370,1.18
119031371,0.77
119031372,1.12
119031373,3.55
119031374,0.98
119041375,7.65
119041376,0.90
119041377,0.93
119041378,2.82
119041379,1.11
119041380,1.29
119041381,1.79
119041382,1.21
120011383,1.92
120011384,4.16
120011385,0.66
120011386,1.00
120021387,1.36
120021388,1.26
120021389,1.34
120031390,1.31
120031391,2.54
120031392,2.57
120031393,0.72
120031394,1.65
120031395,0.45
120031396,5.36
120031575,1.90
120031576,2.07
121011398,2.96
121011399,3.13
121011400,2.29
121011401,2.99
121011402,0.69
121021403,1.19
121021404,0.27
121021406,0.31
121021577,2.05
121021578,1.08
121021579,3.07
121031407,1.96
121031408,1.98
121031409,0.75
121031410,1.58
121031411,0.89
121031412,0.27
121041413,1.01
121041414,1.40
121041415,0.82
121041416,1.12
121041417,2.61
122011418,0.81
122011419,1.03
122021420,0.06
122021421,0.62
122021422,0.24
122021423,1.78
122031424,1.24
122031425,0.91
122031426,1.75
122031427,0.62
122031428,0.52
122031429,1.77
122031430,1.27
122031431,1.37
122031432,0.42
123011433,0.66
123011434,6.10
123011435,4.16
123021436,0.39
123021437,3.49
123021438,-0.26
123021439,
123021440,4.73
123021441,0.57
123021442,1.74
123021443,3.03
123021444,0.34
123031445,1.13
123031446,5.95
123031447,1.96
123031448,1.26
124011449,0.35
124011450,0.33
124011451,-9.15
124011452,0.55
124011453,0.14
124011454,-0.25
124011455,0.18
124021456,-7.79
124031457,0.51
124031458,6.11
124031459,0.10
124031460,0.17
124031461,0.23
124031462,3.52
124031463,6.72
124031464,2.87
124031465,0.74
124041466,0.51
124041467,-0.33
124041468,1.28
124051469,-0.49
124051470,0.02
124051580,1.16
124051581,1.77
125011473,9.50
125011475,-9.71
125011582,2.14
125011583,2.85
125011584,2.09
125011585,1.32
125011586,3.61
125011587,0.71
125021476,2.83
125021477,2.55
125021478,2.13
125031479,2.34
125031480,1.35
125031481,2.26
125031482,1.59
125031483,2.61
125031484,1.79
125031485,2.19
125031486,-9.38
125031487,0.00
125041489,2.07
125041490,0.58
125041491,2.93
125041492,5.03
125041493,1.10
125041494,0.63
125041588,1.96
125041589,2.08
126011495,3.35
126011496,1.21
126021497,1.33
126021498,1.50
126021499,0.78
126021500,2.69
126021501,0.91
126021503,2.70
126021590,-0.32
126021591,4.28
127011504,0.95
127011505,-0.39
127011506,23.90
127011592,-21.50
127011593,0.18
127011594,0.26
127011595,4.95
127011596,5.11
127011597,6.43
127021509,0.81
127021510,0.51
127021511,0.67
127021512,1.51
127021513,1.08
127021514,0.53
127021515,1.22
127021516,1.88
127021517,1.32
127021518,0.30
127021519,1.26
127021520,0.11
127021521,3.04
127031522,1.37
127031523,3.21
127031524,1.21
127031598,2.80
127031599,1.50
127031600,4.50
127031601,4.65
128011529,0.57
128011530,0.56
128011531,0.91
128011602,1.42
128011603,0.67
128011604,1.61
128011605,0.35
128011606,0.83
128021533,0.07
128021534,-0.74
128021535,-0.03
128021536,0.48
128021537,4.94
128021538,1.32
128021607,0.21
128021608,-0.06
128021609,-1.46
101021007,2.40
101021008,-0.96
101021009,0.73
101021010,0.41
101021011,4.47
101021012,-0.09
101031013,-0.30
101031014,-0.15
101031015,0.46
101031016,0.60
101041017,0.50
101041018,-0.08
101041019,0.53
101041020,-0.20
101041021,2.50
101041022,-11.48
101041023,-0.32
101041024,0.48
101041025,1.39
101041026,0.77
101041027,0.35
101051539,1.00
101051540,1.23
101061541,0.28
101061542,1.43
101061543,0.26
101061544,-0.60
103011058,0.48
103011059,3.12
103011060,0.47
103011061,0.33
103021062,-1.19
103021063,0.17
103021064,0.11
103021065,0.43
103021066,-0.42
103021067,-0.13
103021068,-0.28
103021069,-0.09
103031070,0.16
103031071,0.79
103031072,1.76
103031073,-0.01
103031074,0.46
103031075,
103041076,0.10
103041077,-0.94
103041078,2.87
103041079,0.88
104011080,0.02
104011081,0.17
104011082,0.21
104021083,0.35
104021084,1.13
104021085,0.69
104021086,1.27
104021087,-0.52
104021088,2.91
104021089,0.20
104021090,0.22
104021091,1.66
105011092,-1.60
105011093,-0.45
105011094,-1.02
105011095,-1.30
105011096,-1.68
105021097,-1.16
105021098,-1.62
105031099,-0.73
105031100,-0.94
105031101,1.89
105031102,3.21
105031103,1.89
105031104,-0.68
105031105,-0.62
105031106,0.98
106011107,2.11
106011108,1.73
106011109,2.15
106011110,1.23
106011111,1.39
106011112,-0.37
106011113,0.53
106021114,5.76
106021115,0.84
106021116,2.32
106021117,3.15
106021118,4.00
106031119,0.68
106031120,0.43
106031121,1.18
106031122,-0.21
106031123,0.24
106031124,1.63
106031125,1.50
106041126,0.13
106041127,-0.56
106041128,-1.28
106041129,0.26
107011131,0.84
107011132,4.00
107011133,-14.45
107011134,-0.30
107011545,1.16
107011546,0.11
107011547,0.01
107021135,-12.94
107031136,1.27
107031137,-0.77
107031138,1.71
107031139,0.49
107031140,2.16
107031141,4.16
107031142,0.66
107031143,0.11
107041144,0.83
107041145,0.17
107041146,1.04
107041147,0.81
107041148,1.07
107041150,1.15
107041548,3.11
107041549,1.65
108011151,-0.30
108011152,0.62
108011153,1.33
108011154,0.97
108021155,0.49
108021156,-0.19
108021157,0.72
108021158,-0.17
108021159,0.50
108021160,0.48
108031161,1.13
108041162,1.72
108041163,0.69
108041164,2.90
108041165,0.55
108041166,1.55
108051167,0.55
108051168,1.85
108051169,0.02
108051170,1.04
108051171,-0.05
109011172,3.13
109011173,1.10
109011174,-0.57
109011175,1.09
109011176,0.84
109021177,-0.30
109021178,0.48
109021179,-0.29
109031180,-0.76
109031181,0.59
109031182,0.46
109031183,-0.45
109031184,2.42
109031185,0.71
110011186,0.62
110011187,0.23
110011188,-0.32
110011189,-0.40
110021190,0.00
110021191,0.13
110021192,-0.43
110021193,0.93
110021194,-0.58
