#Station Long Name,MACINTYRE RIVER AT TERREWAH
#Station Number,416047
#Station Location Latitude,-28.6077999999994
#Station Location Longitude,149.8747
#Parameter Type Name,Water Course Discharge
#Timeseries Name,DMQaQc.Merged.DailyMean.24HR
#Unit Name,cubic meter per second
#DATA_OWNER_NAME,NSW - NSW Department of Industry – Lands and Water
#Rows,12807
#Timestamp,Value,Interpolation Type,Quality Code
1985-01-18T00:00:00.000+10:00,,603,-1
1985-01-19T00:00:00.000+10:00,4.883,603,140
1985-01-20T00:00:00.000+10:00,4.270,603,140
1985-01-21T00:00:00.000+10:00,4.493,603,140
1985-01-22T00:00:00.000+10:00,5.650,603,140
1985-01-23T00:00:00.000+10:00,5.501,603,140
1985-01-24T00:00:00.000+10:00,5.235,603,140
1985-01-25T00:00:00.000+10:00,5.463,603,140
1985-01-26T00:00:00.000+10:00,5.235,603,140
1985-01-27T00:00:00.000+10:00,5.431,603,140
1985-01-28T00:00:00.000+10:00,4.955,603,140
1985-01-29T00:00:00.000+10:00,4.994,603,140
1985-01-30T00:00:00.000+10:00,5.620,603,140
1985-01-31T00:00:00.000+10:00,5.836,603,140
1985-02-01T00:00:00.000+10:00,5.988,603,140
1985-02-02T00:00:00.000+10:00,6.656,603,140
1985-02-03T00:00:00.000+10:00,6.918,603,140
1985-02-04T00:00:00.000+10:00,7.227,603,140
1985-02-05T00:00:00.000+10:00,6.789,603,140
1985-02-06T00:00:00.000+10:00,7.013,603,140
1985-02-07T00:00:00.000+10:00,6.377,603,140
1985-02-08T00:00:00.000+10:00,5.831,603,140
1985-02-09T00:00:00.000+10:00,5.263,603,140
1985-02-10T00:00:00.000+10:00,5.348,603,140
1985-02-11T00:00:00.000+10:00,6.228,603,140
1985-02-12T00:00:00.000+10:00,6.582,603,140
1985-02-13T00:00:00.000+10:00,6.569,603,140
1985-02-14T00:00:00.000+10:00,6.304,603,140
1985-02-15T00:00:00.000+10:00,5.703,603,140
1985-02-16T00:00:00.000+10:00,5.290,603,140
1985-02-17T00:00:00.000+10:00,5.224,603,140
1985-02-18T00:00:00.000+10:00,5.640,603,140
1985-02-19T00:00:00.000+10:00,7.176,603,140
1985-02-20T00:00:00.000+10:00,7.230,603,140
1985-02-21T00:00:00.000+10:00,9.515,603,140
1985-02-22T00:00:00.000+10:00,11.098,603,140
1985-02-23T00:00:00.000+10:00,11.505,603,140
1985-02-24T00:00:00.000+10:00,13.219,603,140
1985-02-25T00:00:00.000+10:00,12.684,603,140
1985-02-26T00:00:00.000+10:00,10.541,603,140
1985-02-27T00:00:00.000+10:00,8.065,603,140
1985-02-28T00:00:00.000+10:00,6.652,603,140
1985-03-01T00:00:00.000+10:00,5.748,603,140
1985-03-02T00:00:00.000+10:00,5.212,603,140
1985-03-03T00:00:00.000+10:00,5.491,603,140
1985-03-04T00:00:00.000+10:00,5.723,603,140
1985-03-05T00:00:00.000+10:00,5.469,603,140
1985-03-06T00:00:00.000+10:00,4.924,603,140
1985-03-07T00:00:00.000+10:00,4.717,603,140
1985-03-08T00:00:00.000+10:00,4.833,603,140
1985-03-09T00:00:00.000+10:00,5.011,603,140
1985-03-10T00:00:00.000+10:00,5.320,603,140
1985-03-11T00:00:00.000+10:00,5.409,603,140
1985-03-12T00:00:00.000+10:00,4.854,603,140
1985-03-13T00:00:00.000+10:00,4.794,603,140
1985-03-14T00:00:00.000+10:00,4.605,603,140
1985-03-15T00:00:00.000+10:00,4.118,603,140
1985-03-16T00:00:00.000+10:00,3.923,603,140
1985-03-17T00:00:00.000+10:00,3.671,603,140
1985-03-18T00:00:00.000+10:00,3.484,603,140
1985-03-19T00:00:00.000+10:00,3.277,603,140
1985-03-20T00:00:00.000+10:00,2.807,603,140
1985-03-21T00:00:00.000+10:00,2.745,603,140
1985-03-22T00:00:00.000+10:00,2.566,603,140
1985-03-23T00:00:00.000+10:00,2.153,603,140
1985-03-24T00:00:00.000+10:00,1.827,603,140
1985-03-25T00:00:00.000+10:00,1.794,603,140
1985-03-26T00:00:00.000+10:00,1.593,603,140
1985-03-27T00:00:00.000+10:00,1.459,603,140
1985-03-28T00:00:00.000+10:00,1.323,603,140
1985-03-29T00:00:00.000+10:00,1.261,603,140
1985-03-30T00:00:00.000+10:00,1.193,603,140
1985-03-31T00:00:00.000+10:00,1.124,603,140
1985-04-01T00:00:00.000+10:00,1.055,603,140
1985-04-02T00:00:00.000+10:00,1.008,603,140
1985-04-03T00:00:00.000+10:00,1.032,603,140
1985-04-04T00:00:00.000+10:00,1.042,603,140
1985-04-05T00:00:00.000+10:00,1.007,603,140
1985-04-06T00:00:00.000+10:00,1.019,603,140
1985-04-07T00:00:00.000+10:00,0.999,603,140
1985-04-08T00:00:00.000+10:00,1.010,603,140
1985-04-09T00:00:00.000+10:00,1.040,603,140
1985-04-10T00:00:00.000+10:00,1.017,603,140
1985-04-11T00:00:00.000+10:00,1.088,603,140
1985-04-12T00:00:00.000+10:00,1.155,603,140
1985-04-13T00:00:00.000+10:00,1.246,603,140
1985-04-14T00:00:00.000+10:00,1.636,603,140
1985-04-15T00:00:00.000+10:00,2.084,603,140
1985-04-16T00:00:00.000+10:00,2.403,603,140
1985-04-17T00:00:00.000+10:00,2.577,603,140
1985-04-18T00:00:00.000+10:00,2.334,603,140
1985-04-19T00:00:00.000+10:00,2.039,603,140
1985-04-20T00:00:00.000+10:00,1.734,603,140
1985-04-21T00:00:00.000+10:00,1.657,603,140
1985-04-22T00:00:00.000+10:00,1.598,603,140
1985-04-23T00:00:00.000+10:00,1.538,603,140
1985-04-24T00:00:00.000+10:00,1.566,603,140
1985-04-25T00:00:00.000+10:00,1.881,603,140
1985-04-26T00:00:00.000+10:00,2.160,603,140
1985-04-27T00:00:00.000+10:00,2.196,603,140
1985-04-28T00:00:00.000+10:00,2.213,603,140
1985-04-29T00:00:00.000+10:00,2.185,603,140
1985-04-30T00:00:00.000+10:00,2.116,603,140
1985-05-01T00:00:00.000+10:00,2.311,603,140
1985-05-02T00:00:00.000+10:00,2.339,603,140
1985-05-03T00:00:00.000+10:00,2.353,603,140
1985-05-04T00:00:00.000+10:00,2.245,603,140
1985-05-05T00:00:00.000+10:00,2.104,603,140
1985-05-06T00:00:00.000+10:00,2.047,603,140
1985-05-07T00:00:00.000+10:00,2.043,603,140
1985-05-08T00:00:00.000+10:00,2.029,603,140
1985-05-09T00:00:00.000+10:00,1.861,603,140
1985-05-10T00:00:00.000+10:00,1.428,603,140
1985-05-11T00:00:00.000+10:00,1.227,603,140
1985-05-12T00:00:00.000+10:00,1.034,603,140
1985-05-13T00:00:00.000+10:00,1.012,603,140
1985-05-14T00:00:00.000+10:00,1.054,603,140
1985-05-15T00:00:00.000+10:00,1.050,603,140
1985-05-16T00:00:00.000+10:00,1.009,603,140
1985-05-17T00:00:00.000+10:00,0.943,603,140
1985-05-18T00:00:00.000+10:00,0.944,603,140
1985-05-19T00:00:00.000+10:00,0.992,603,140
1985-05-20T00:00:00.000+10:00,1.042,603,140
1985-05-21T00:00:00.000+10:00,0.947,603,140
1985-05-22T00:00:00.000+10:00,1.014,603,140
1985-05-23T00:00:00.000+10:00,0.986,603,140
1985-05-24T00:00:00.000+10:00,0.935,603,140
1985-05-25T00:00:00.000+10:00,0.938,603,140
1985-05-26T00:00:00.000+10:00,1.027,603,140
1985-05-27T00:00:00.000+10:00,1.042,603,140
1985-05-28T00:00:00.000+10:00,1.021,603,140
1985-05-29T00:00:00.000+10:00,1.083,603,140
1985-05-30T00:00:00.000+10:00,1.061,603,140
1985-05-31T00:00:00.000+10:00,0.974,603,140
1985-06-01T00:00:00.000+10:00,0.961,603,140
1985-06-02T00:00:00.000+10:00,0.934,603,140
1985-06-03T00:00:00.000+10:00,0.925,603,140
1985-06-04T00:00:00.000+10:00,0.971,603,140
1985-06-05T00:00:00.000+10:00,1.048,603,140
1985-06-06T00:00:00.000+10:00,1.214,603,140
1985-06-07T00:00:00.000+10:00,1.240,603,140
1985-06-08T00:00:00.000+10:00,1.446,603,140
1985-06-09T00:00:00.000+10:00,1.707,603,140
1985-06-10T00:00:00.000+10:00,1.712,603,140
1985-06-11T00:00:00.000+10:00,1.655,603,140
1985-06-12T00:00:00.000+10:00,1.595,603,140
1985-06-13T00:00:00.000+10:00,1.513,603,140
1985-06-14T00:00:00.000+10:00,1.310,603,140
1985-06-15T00:00:00.000+10:00,1.085,603,140
1985-06-16T00:00:00.000+10:00,1.253,603,140
1985-06-17T00:00:00.000+10:00,1.448,603,140
1985-06-18T00:00:00.000+10:00,1.562,603,140
1985-06-19T00:00:00.000+10:00,2.032,603,140
1985-06-20T00:00:00.000+10:00,1.711,603,140
1985-06-21T00:00:00.000+10:00,1.557,603,140
1985-06-22T00:00:00.000+10:00,1.587,603,140
1985-06-23T00:00:00.000+10:00,1.689,603,140
1985-06-24T00:00:00.000+10:00,1.574,603,140
1985-06-25T00:00:00.000+10:00,1.508,603,140
1985-06-26T00:00:00.000+10:00,1.752,603,140
1985-06-27T00:00:00.000+10:00,1.785,603,140
1985-06-28T00:00:00.000+10:00,1.344,603,140
1985-06-29T00:00:00.000+10:00,1.048,603,140
1985-06-30T00:00:00.000+10:00,0.853,603,140
1985-07-01T00:00:00.000+10:00,0.846,603,140
1985-07-02T00:00:00.000+10:00,0.865,603,140
1985-07-03T00:00:00.000+10:00,1.091,603,140
1985-07-04T00:00:00.000+10:00,1.297,603,140
1985-07-05T00:00:00.000+10:00,1.437,603,140
1985-07-06T00:00:00.000+10:00,1.512,603,140
1985-07-07T00:00:00.000+10:00,1.625,603,140
1985-07-08T00:00:00.000+10:00,1.842,603,140
1985-07-09T00:00:00.000+10:00,2.330,603,140
1985-07-10T00:00:00.000+10:00,2.742,603,140
1985-07-11T00:00:00.000+10:00,2.994,603,140
1985-07-12T00:00:00.000+10:00,3.580,603,140
1985-07-13T00:00:00.000+10:00,7.132,603,140
1985-07-14T00:00:00.000+10:00,16.504,603,140
1985-07-15T00:00:00.000+10:00,39.936,603,140
1985-07-16T00:00:00.000+10:00,35.927,603,140
1985-07-17T00:00:00.000+10:00,27.862,603,140
1985-07-18T00:00:00.000+10:00,22.011,603,140
1985-07-19T00:00:00.000+10:00,18.701,603,140
1985-07-20T00:00:00.000+10:00,15.329,603,140
1985-07-21T00:00:00.000+10:00,12.462,603,140
1985-07-22T00:00:00.000+10:00,11.205,603,140
1985-07-23T00:00:00.000+10:00,10.329,603,140
1985-07-24T00:00:00.000+10:00,9.181,603,140
1985-07-25T00:00:00.000+10:00,8.398,603,140
1985-07-26T00:00:00.000+10:00,7.873,603,140
1985-07-27T00:00:00.000+10:00,7.093,603,140
1985-07-28T00:00:00.000+10:00,6.413,603,140
1985-07-29T00:00:00.000+10:00,6.062,603,140
1985-07-30T00:00:00.000+10:00,5.801,603,140
1985-07-31T00:00:00.000+10:00,5.704,603,140
1985-08-01T00:00:00.000+10:00,5.376,603,140
1985-08-02T00:00:00.000+10:00,5.033,603,140
1985-08-03T00:00:00.000+10:00,4.714,603,140
1985-08-04T00:00:00.000+10:00,4.499,603,140
1985-08-05T00:00:00.000+10:00,4.306,603,140
1985-08-06T00:00:00.000+10:00,4.176,603,140
1985-08-07T00:00:00.000+10:00,4.087,603,140
1985-08-08T00:00:00.000+10:00,3.937,603,140
1985-08-09T00:00:00.000+10:00,3.751,603,140
1985-08-10T00:00:00.000+10:00,3.639,603,140
1985-08-11T00:00:00.000+10:00,3.647,603,140
1985-08-12T00:00:00.000+10:00,3.668,603,140
1985-08-13T00:00:00.000+10:00,3.551,603,140
1985-08-14T00:00:00.000+10:00,3.585,603,140
1985-08-15T00:00:00.000+10:00,4.203,603,140
1985-08-16T00:00:00.000+10:00,5.438,603,140
1985-08-17T00:00:00.000+10:00,6.271,603,140
1985-08-18T00:00:00.000+10:00,7.434,603,140
1985-08-19T00:00:00.000+10:00,9.020,603,140
1985-08-20T00:00:00.000+10:00,8.594,603,140
1985-08-21T00:00:00.000+10:00,7.038,603,140
1985-08-22T00:00:00.000+10:00,6.030,603,140
1985-08-23T00:00:00.000+10:00,6.240,603,140
1985-08-24T00:00:00.000+10:00,6.978,603,140
1985-08-25T00:00:00.000+10:00,6.658,603,140
1985-08-26T00:00:00.000+10:00,12.293,603,140
1985-08-27T00:00:00.000+10:00,32.178,603,140
1985-08-28T00:00:00.000+10:00,42.770,603,140
1985-08-29T00:00:00.000+10:00,38.422,603,140
1985-08-30T00:00:00.000+10:00,32.345,603,140
1985-08-31T00:00:00.000+10:00,27.062,603,140
1985-09-01T00:00:00.000+10:00,22.704,603,140
1985-09-02T00:00:00.000+10:00,20.601,603,140
1985-09-03T00:00:00.000+10:00,18.080,603,140
1985-09-04T00:00:00.000+10:00,15.375,603,140
1985-09-05T00:00:00.000+10:00,15.456,603,140
1985-09-06T00:00:00.000+10:00,22.468,603,140
1985-09-07T00:00:00.000+10:00,34.283,603,140
1985-09-08T00:00:00.000+10:00,30.075,603,140
1985-09-09T00:00:00.000+10:00,27.977,603,140
1985-09-10T00:00:00.000+10:00,25.370,603,140
1985-09-11T00:00:00.000+10:00,22.594,603,140
1985-09-12T00:00:00.000+10:00,20.302,603,140
1985-09-13T00:00:00.000+10:00,17.323,603,140
1985-09-14T00:00:00.000+10:00,16.202,603,140
1985-09-15T00:00:00.000+10:00,15.851,603,140
1985-09-16T00:00:00.000+10:00,18.678,603,140
