#Station Long Name,Culgoa River at Whyenbah
#Station Number,422204A
#Station Location Latitude,-28.43143333
#Station Location Longitude,148.2696
#Parameter Type Name,Water Course Discharge
#Timeseries Name,DMQaQc.Merged.DailyMean.24HR
#Unit Name,cubic meter per second
#DATA_OWNER_NAME,QLD - Department of Natural Resources, Mines and Energy
#Rows,19907
#Timestamp,Value,Interpolation Type,Quality Code
1965-07-31T00:00:00.000+10:00,,603,-1
1965-08-01T00:00:00.000+10:00,24.812,603,10
1965-08-02T00:00:00.000+10:00,71.323,603,10
1965-08-03T00:00:00.000+10:00,81.138,603,10
1965-08-04T00:00:00.000+10:00,86.454,603,10
1965-08-05T00:00:00.000+10:00,91.355,603,10
1965-08-06T00:00:00.000+10:00,89.902,603,10
1965-08-07T00:00:00.000+10:00,66.271,603,10
1965-08-08T00:00:00.000+10:00,38.680,603,10
1965-08-09T00:00:00.000+10:00,17.760,603,10
1965-08-10T00:00:00.000+10:00,26.765,603,10
1965-08-11T00:00:00.000+10:00,12.897,603,10
1965-08-12T00:00:00.000+10:00,10.532,603,10
1965-08-13T00:00:00.000+10:00,10.454,603,10
1965-08-14T00:00:00.000+10:00,8.682,603,10
1965-08-15T00:00:00.000+10:00,7.329,603,10
1965-08-16T00:00:00.000+10:00,7.349,603,10
1965-08-17T00:00:00.000+10:00,7.721,603,10
1965-08-18T00:00:00.000+10:00,7.373,603,10
1965-08-19T00:00:00.000+10:00,6.380,603,10
1965-08-20T00:00:00.000+10:00,5.782,603,10
1965-08-21T00:00:00.000+10:00,5.726,603,10
1965-08-22T00:00:00.000+10:00,5.801,603,10
1965-08-23T00:00:00.000+10:00,5.527,603,10
1965-08-24T00:00:00.000+10:00,5.040,603,10
1965-08-25T00:00:00.000+10:00,4.749,603,10
1965-08-26T00:00:00.000+10:00,4.326,603,10
1965-08-27T00:00:00.000+10:00,3.769,603,10
1965-08-28T00:00:00.000+10:00,3.289,603,10
1965-08-29T00:00:00.000+10:00,3.208,603,10
1965-08-30T00:00:00.000+10:00,3.887,603,10
1965-08-31T00:00:00.000+10:00,4.223,603,10
1965-09-01T00:00:00.000+10:00,3.705,603,10
1965-09-02T00:00:00.000+10:00,2.845,603,10
1965-09-03T00:00:00.000+10:00,2.362,603,10
1965-09-04T00:00:00.000+10:00,1.933,603,10
1965-09-05T00:00:00.000+10:00,1.699,603,10
1965-09-06T00:00:00.000+10:00,1.521,603,10
1965-09-07T00:00:00.000+10:00,1.432,603,10
1965-09-08T00:00:00.000+10:00,1.411,603,10
1965-09-09T00:00:00.000+10:00,1.379,603,10
1965-09-10T00:00:00.000+10:00,1.654,603,10
1965-09-11T00:00:00.000+10:00,2.269,603,10
1965-09-12T00:00:00.000+10:00,2.343,603,10
1965-09-13T00:00:00.000+10:00,2.130,603,10
1965-09-14T00:00:00.000+10:00,1.918,603,10
1965-09-15T00:00:00.000+10:00,1.750,603,10
1965-09-16T00:00:00.000+10:00,1.528,603,10
1965-09-17T00:00:00.000+10:00,2.747,603,10
1965-09-18T00:00:00.000+10:00,4.824,603,10
1965-09-19T00:00:00.000+10:00,4.116,603,10
1965-09-20T00:00:00.000+10:00,2.903,603,10
1965-09-21T00:00:00.000+10:00,2.557,603,10
1965-09-22T00:00:00.000+10:00,2.591,603,10
1965-09-23T00:00:00.000+10:00,2.376,603,10
1965-09-24T00:00:00.000+10:00,2.174,603,10
1965-09-25T00:00:00.000+10:00,2.366,603,10
1965-09-26T00:00:00.000+10:00,3.191,603,10
1965-09-27T00:00:00.000+10:00,2.972,603,10
1965-09-28T00:00:00.000+10:00,2.732,603,10
1965-09-29T00:00:00.000+10:00,2.854,603,10
1965-09-30T00:00:00.000+10:00,8.145,603,10
1965-10-01T00:00:00.000+10:00,6.825,603,10
1965-10-02T00:00:00.000+10:00,6.676,603,10
1965-10-03T00:00:00.000+10:00,4.941,603,10
1965-10-04T00:00:00.000+10:00,3.553,603,10
1965-10-05T00:00:00.000+10:00,3.466,603,10
1965-10-06T00:00:00.000+10:00,2.940,603,10
1965-10-07T00:00:00.000+10:00,2.449,603,10
1965-10-08T00:00:00.000+10:00,2.020,603,10
1965-10-09T00:00:00.000+10:00,2.280,603,10
1965-10-10T00:00:00.000+10:00,2.103,603,10
1965-10-11T00:00:00.000+10:00,1.534,603,10
1965-10-12T00:00:00.000+10:00,1.266,603,10
1965-10-13T00:00:00.000+10:00,1.577,603,10
1965-10-14T00:00:00.000+10:00,1.575,603,10
1965-10-15T00:00:00.000+10:00,1.502,603,10
1965-10-16T00:00:00.000+10:00,1.431,603,10
1965-10-17T00:00:00.000+10:00,1.354,603,10
1965-10-18T00:00:00.000+10:00,1.241,603,10
1965-10-19T00:00:00.000+10:00,1.172,603,10
1965-10-20T00:00:00.000+10:00,1.113,603,10
1965-10-21T00:00:00.000+10:00,1.056,603,10
1965-10-22T00:00:00.000+10:00,0.996,603,10
1965-10-23T00:00:00.000+10:00,0.904,603,10
1965-10-24T00:00:00.000+10:00,0.832,603,10
1965-10-25T00:00:00.000+10:00,0.768,603,10
1965-10-26T00:00:00.000+10:00,0.708,603,10
1965-10-27T00:00:00.000+10:00,0.645,603,10
1965-10-28T00:00:00.000+10:00,0.557,603,10
1965-10-29T00:00:00.000+10:00,0.506,603,10
1965-10-30T00:00:00.000+10:00,0.463,603,10
1965-10-31T00:00:00.000+10:00,0.424,603,10
1965-11-01T00:00:00.000+10:00,0.384,603,10
1965-11-02T00:00:00.000+10:00,0.327,603,10
1965-11-03T00:00:00.000+10:00,0.294,603,10
1965-11-04T00:00:00.000+10:00,0.264,603,10
1965-11-05T00:00:00.000+10:00,0.222,603,10
1965-11-06T00:00:00.000+10:00,0.199,603,10
1965-11-07T00:00:00.000+10:00,0.177,603,10
1965-11-08T00:00:00.000+10:00,0.148,603,10
1965-11-09T00:00:00.000+10:00,0.131,603,10
1965-11-10T00:00:00.000+10:00,0.115,603,10
1965-11-11T00:00:00.000+10:00,0.096,603,10
1965-11-12T00:00:00.000+10:00,0.091,603,10
1965-11-13T00:00:00.000+10:00,0.074,603,10
1965-11-14T00:00:00.000+10:00,0.060,603,10
1965-11-15T00:00:00.000+10:00,0.056,603,10
1965-11-16T00:00:00.000+10:00,0.046,603,10
1965-11-17T00:00:00.000+10:00,0.040,603,10
1965-11-18T00:00:00.000+10:00,0.034,603,10
1965-11-19T00:00:00.000+10:00,0.026,603,10
1965-11-20T00:00:00.000+10:00,0.007,603,10
1965-11-21T00:00:00.000+10:00,0.002,603,10
1965-11-22T00:00:00.000+10:00,0.000,603,10
1965-11-23T00:00:00.000+10:00,0.000,603,10
1965-11-24T00:00:00.000+10:00,0.000,603,10
1965-11-25T00:00:00.000+10:00,0.000,603,10
1965-11-26T00:00:00.000+10:00,0.000,603,10
1965-11-27T00:00:00.000+10:00,0.000,603,10
1965-11-28T00:00:00.000+10:00,0.000,603,10
1965-11-29T00:00:00.000+10:00,0.000,603,10
1965-11-30T00:00:00.000+10:00,0.000,603,10
1965-12-01T00:00:00.000+10:00,0.000,603,10
1965-12-02T00:00:00.000+10:00,0.000,603,10
1965-12-03T00:00:00.000+10:00,0.000,603,10
1965-12-04T00:00:00.000+10:00,0.000,603,10
1965-12-05T00:00:00.000+10:00,0.000,603,10
1965-12-06T00:00:00.000+10:00,0.000,603,10
1965-12-07T00:00:00.000+10:00,0.000,603,10
1965-12-08T00:00:00.000+10:00,0.000,603,10
1965-12-09T00:00:00.000+10:00,0.000,603,10
1965-12-10T00:00:00.000+10:00,0.000,603,10
1965-12-11T00:00:00.000+10:00,26.099,603,10
1965-12-12T00:00:00.000+10:00,54.140,603,10
1965-12-13T00:00:00.000+10:00,57.678,603,10
1965-12-14T00:00:00.000+10:00,72.836,603,10
1965-12-15T00:00:00.000+10:00,82.012,603,10
1965-12-16T00:00:00.000+10:00,84.267,603,10
1965-12-17T00:00:00.000+10:00,101.592,603,10
1965-12-18T00:00:00.000+10:00,124.440,603,10
1965-12-19T00:00:00.000+10:00,142.783,603,10
1965-12-20T00:00:00.000+10:00,156.180,603,10
1965-12-21T00:00:00.000+10:00,165.365,603,10
1965-12-22T00:00:00.000+10:00,167.657,603,10
1965-12-23T00:00:00.000+10:00,159.315,603,10
1965-12-24T00:00:00.000+10:00,149.827,603,10
1965-12-25T00:00:00.000+10:00,148.368,603,10
1965-12-26T00:00:00.000+10:00,151.438,603,10
1965-12-27T00:00:00.000+10:00,154.386,603,10
1965-12-28T00:00:00.000+10:00,155.571,603,10
1965-12-29T00:00:00.000+10:00,154.829,603,10
1965-12-30T00:00:00.000+10:00,152.465,603,10
1965-12-31T00:00:00.000+10:00,145.782,603,10
1966-01-01T00:00:00.000+10:00,126.000,603,10
1966-01-02T00:00:00.000+10:00,85.538,603,10
1966-01-03T00:00:00.000+10:00,46.977,603,10
1966-01-04T00:00:00.000+10:00,27.422,603,10
1966-01-05T00:00:00.000+10:00,18.659,603,10
1966-01-06T00:00:00.000+10:00,17.345,603,10
