#Station Long Name,CAROLE CREEK AT NEAR GARAH
#Station Number,418052
#Station Location Latitude,-29.125
#Station Location Longitude,149.5519
#Parameter Type Name,Water Course Discharge
#Timeseries Name,DMQaQc.Merged.DailyMean.24HR
#Unit Name,cubic meter per second
#DATA_OWNER_NAME,NSW - NSW Department of Industry – Lands and Water
#Rows,14377
#Timestamp,Value,Interpolation Type,Quality Code
1980-10-01T00:00:00.000+10:00,,603,-1
1980-10-02T00:00:00.000+10:00,1.219,603,140
1980-10-03T00:00:00.000+10:00,0.753,603,140
1980-10-04T00:00:00.000+10:00,0.563,603,140
1980-10-05T00:00:00.000+10:00,0.979,603,140
1980-10-06T00:00:00.000+10:00,1.998,603,140
1980-10-07T00:00:00.000+10:00,3.883,603,140
1980-10-08T00:00:00.000+10:00,3.396,603,140
1980-10-09T00:00:00.000+10:00,0.940,603,140
1980-10-10T00:00:00.000+10:00,0.647,603,140
1980-10-11T00:00:00.000+10:00,1.452,603,140
1980-10-12T00:00:00.000+10:00,2.198,603,140
1980-10-13T00:00:00.000+10:00,4.021,603,140
1980-10-14T00:00:00.000+10:00,4.080,603,140
1980-10-15T00:00:00.000+10:00,3.368,603,140
1980-10-16T00:00:00.000+10:00,2.847,603,140
1980-10-17T00:00:00.000+10:00,3.073,603,140
1980-10-18T00:00:00.000+10:00,4.114,603,140
1980-10-19T00:00:00.000+10:00,4.854,603,140
1980-10-20T00:00:00.000+10:00,4.710,603,140
1980-10-21T00:00:00.000+10:00,3.373,603,140
1980-10-22T00:00:00.000+10:00,2.623,603,140
1980-10-23T00:00:00.000+10:00,1.128,603,140
1980-10-24T00:00:00.000+10:00,1.807,603,140
1980-10-25T00:00:00.000+10:00,1.920,603,140
1980-10-26T00:00:00.000+10:00,2.175,603,140
1980-10-27T00:00:00.000+10:00,2.227,603,140
1980-10-28T00:00:00.000+10:00,1.425,603,140
1980-10-29T00:00:00.000+10:00,1.064,603,140
1980-10-30T00:00:00.000+10:00,0.283,603,140
1980-10-31T00:00:00.000+10:00,0.212,603,140
1980-11-01T00:00:00.000+10:00,0.217,603,140
1980-11-02T00:00:00.000+10:00,0.284,603,140
1980-11-03T00:00:00.000+10:00,0.906,603,140
1980-11-04T00:00:00.000+10:00,2.384,603,140
1980-11-05T00:00:00.000+10:00,4.482,603,140
1980-11-06T00:00:00.000+10:00,6.498,603,140
1980-11-07T00:00:00.000+10:00,6.730,603,140
1980-11-08T00:00:00.000+10:00,2.829,603,140
1980-11-09T00:00:00.000+10:00,0.739,603,140
1980-11-10T00:00:00.000+10:00,0.857,603,140
